0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:14:27 +0800] "GET /login.html HTTP/1.1" 200 6283
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:14:30 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:14:32 +0800] "POST /sys/login HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:14:32 +0800] "GET /index.html HTTP/1.1" 200 5206
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:14:32 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:14:32 +0800] "GET /sys/user/info?_1554340472358 HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:14:32 +0800] "GET /main.html HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:14:32 +0800] "GET /sys/menu/nav?_1554340472356 HTTP/1.1" 200 7044
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:14:32 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:14:47 +0800] "GET /modules/content/institutional_selfmedia.html HTTP/1.1" 200 16589
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:14:47 +0800] "GET /statics/js/modules/content/institutional_selfmedia.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:14:47 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:14:48 +0800] "POST /media/list HTTP/1.1" 200 12582
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:14:52 +0800] "POST /draft/list HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:15:19 +0800] "GET /modules/content/edit_article.html HTTP/1.1" 200 17363
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:15:19 +0800] "GET /statics/js/modules/content/edit_article.js HTTP/1.1" 200 19459
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:15:20 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:15:20 +0800] "POST /channel/selectList HTTP/1.1" 200 7374
0:0:0:0:0:0:0:1 - - [04/Apr/2019:09:15:20 +0800] "GET /ueditor/jsp/controller.jsp?action=config&&noCache=1554340520425 HTTP/1.1" 200 2493
